date,hours_after_sunset,risk,reward,bat_landing_to_food,habit,seconds_after_rat_arrival,season,food_availability,rat_arrival_number,bat_landing_number
2017-12-30,2.0,1,0,16.0,rat,108,0,3.955857385,0.0,20.0
2017-12-30,3.0,0,1,0.074015603,fast,17,0,3.067911715,1.0,37.0
2017-12-30,3.0,0,1,4.0,fast,41,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,10.0,rat,111,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,15.0,rat,194,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,24.0,rat,215,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,13.0,rat,253,0,3.067911715,1.0,37.0
2017-12-26,4.5,1,0,15.0,rat,88,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,pick,113,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,3.0,fast,121,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,5.0,pick,128,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,pick,153,0,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,10.0,rat,208,0,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,1.0,bat_fight,216,0,2.561403509,1.0,53.0
2017-12-27,9.0,1,0,2.0,rat_and_no_food,37,0,0.0,1.0,13.0
2017-12-28,3.0,0,1,1.0,fast,14,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,2.0,rat,40,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,26.0,rat,68,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,5.0,rat_and_others,521,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,1,15.0,pick_and_others,564,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,24.0,rat,607,0,3.07696661,1.0,23.0
2017-12-28,11.5,0,1,2.0,fast,107,0,0.730769231,1.0,11.0
2017-12-28,11.5,0,1,2.0,fast,358,0,0.730769231,1.0,11.0
2018-01-27,6.5,0,1,0.049410419,fast,12,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,1.0,fast,14,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,6.0,rat,49,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,3.0,fast,68,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,8.0,rat,84,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,31.0,rat,122,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,0.010695699,fast,186,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,2.0,fast,231,0,2.55,1.0,64.0
2018-01-27,6.5,0,0,1.0,gaze,246,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,9.0,pick,253,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,6.0,pick,355,0,2.55,1.0,64.0
2018-01-28,11.0,0,1,11.0,pick,742,0,1.0,1.0,3.0
2018-01-01,9.0,0,1,2.0,fast,115,0,1.92688172,1.0,18.0
2018-01-31,2.5,1,0,3.0,rat,195,0,3.214285714,1.0,80.0
2018-01-31,5.0,0,1,1.0,fast,168,0,2.0,1.0,80.0
2018-01-10,11.5,1,0,1.0,rat,306,0,2.366666667,0.0,23.0
2018-01-28,3.0,0,1,1.0,fast,9,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,456,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,0.035319187,rat,528,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,534,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,1,7.0,pick_rat,545,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,551,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,0.034803066,fast,569,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,583,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,589,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,2.0,fast,627,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,631,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,fast,642,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,pick,720,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,3.0,rat,824,0,3.583333333,1.0,68.0
2018-01-29,8.5,0,1,22.0,pick,225,0,1.151209677,0.0,55.0
2018-01-28,3.0,1,0,1.0,rat,162,0,3.583333333,1.0,68.0
2018-02-20,8.5,1,0,2.0,rat,151,0,2.0,2.0,46.0
2018-02-20,9.5,1,0,1.0,rat,17,0,1.822307272,1.0,30.0
2018-02-20,8.5,1,0,3.0,bat,116,0,2.0,2.0,46.0
2018-02-10,7.5,1,0,4.0,rat,22,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,3.0,fast,96,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.089216347,fast,18,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,rat,56,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.041390374,fast,65,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,0.090143902,rat,81,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,0,20.0,both,102,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,rat,149,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,7.0,bat,61,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,1,21.0,pick_bat,65,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,4.0,pick,68,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,2.0,pick,80,0,1.025466893,1.0,51.0
2018-02-07,1.0,1,0,1.0,rat,166,0,4.0,5.0,29.0
2018-02-07,5.5,0,1,14.0,pick,299,0,2.050611791,2.0,65.0
2018-02-08,8.5,1,0,8.0,rat_attack,7,0,1.037351443,2.0,53.0
2018-02-08,8.5,0,1,1.0,fast,2,0,1.037351443,2.0,53.0
2018-02-08,9.0,1,0,6.0,rat,74,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,1.0,rat,80,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,7.0,rat,99,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,rat,116,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,rat,200,0,1.0,0.0,24.0
2018-02-08,10.5,1,0,0.035867953,rat,27,0,0.0,0.0,19.0
2018-02-02,7.5,0,1,2.0,fast,184,0,1.03198484,1.0,60.0
2018-02-02,7.5,1,0,1.0,rat,239,0,1.03198484,1.0,60.0
2018-02-09,7.0,0,1,3.0,fast,2,0,2.0,2.0,46.0
